sample_id,tc,tn
icr073048,1.302742898,0.079558693
icr073049,0.823614955,0.047088724
icr073068,0.881399125,0.050527256
icr073069,1.083024502,0.063439377
icr073088,5.880225182,0.357662216
icr073089,9.397501469,0.501024723
icr073128,1.10318318,0.052588485
icr073129,0.584773242,0.027534143
icr073148,0.6140185,0.03501175
icr073149,0.496762201,0.027877735
icr073168,1.150546372,0.062997274
icr073169,0.642718375,0.037335243
icr073188,3.0860714910000002,0.162916414
icr073189,1.72180897,0.096123025
icr073208,1.856801212,0.098828036
icr073209,1.607048213,0.08747945
icr073228,1.793745458,0.095384344
icr073229,0.988813311,0.051989306
icr073248,2.930476904,0.14838358
icr073249,1.047558784,0.041060532
icr073300,0.888253927,0.049839925
icr073301,1.468697131,0.076042663
icr073320,0.93292284,0.049507901
icr073321,0.578009069,0.028782949
icr073340,1.732878745,0.10562142
icr073341,0.522120029,0.031979485
icr073361,1.780220926,0.107184172
icr073362,1.04981488,0.059840837
icr073379,0.904925793,0.046196535
icr073380,0.387696043,0.018889938
icr073399,1.664853215,0.088331077
icr073400,0.741551131,0.038497234
icr073419,1.292605519,0.078801423
icr073420,0.616256416,0.039630316
icr073439,0.999633789,0.057438208
icr073440,0.528126925,0.026875396
icr073459,0.882676572,0.046153653
icr073460,0.884804338,0.045473812
icr073479,0.668295056,0.036311725
icr073480,1.227820754,0.069716062
icr073499,0.672738016,0.036767051
icr073500,1.087627828,0.058108408
icr073519,1.024423689,0.06340291
icr073520,0.57746765,0.035068847
icr073539,1.240109384,0.065863848
icr073540,0.681689799,0.036292901
icr073558,0.923846364,0.051942371
icr073559,0.467613325,0.023064462
icr073578,1.098819017,0.054195862
icr073579,0.5419797,0.025727932
icr073598,0.850698084,0.047062794
icr073599,0.51243642,0.030151662
icr073649,0.778789461,0.052370753
icr073650,0.652274758,0.048081473
icr073670,1.27283144,0.095364574
icr073671,0.893391013,0.066561688
icr073686,1.827758491,0.116774637
icr073687,1.333174109,0.083216559
icr073703,1.354464531,0.096993666
icr073704,0.964486271,0.068344735
icr073723,1.670445621,0.11031124
icr073724,1.031590223,0.079325993
icr073743,3.13431859,0.249893516
icr073744,1.267064869,0.103011969
icr073762,1.359894872,0.089991275
icr073763,1.22691226,0.076308414
icr073799,2.17251277,0.126014423
icr073800,1.494417906,0.081551757
icr073819,1.669269264,0.097357996
icr073839,1.476598382,0.08837283
icr073840,1.23863399,0.079084329
icr073857,1.282050788,0.085963659
icr073858,1.169091702,0.072862156
icr073877,2.189544439,0.131050453
icr073878,1.638683349,0.095061067
icr073897,1.360087156,0.080401123
icr073898,0.88548103,0.054393046
icr073917,1.412276506,0.094774932
icr073918,1.080239773,0.064512365
icr073937,1.260218978,0.080664214
icr073938,1.601359248,0.098093059
icr073988,0.785588831,0.06972583
icr073989,0.67812556,0.057251336
icr074002,1.271311104,0.091420706
icr074003,0.921590447,0.079342391
icr074018,0.709075302,0.051885221
icr074019,0.578416526,0.051684853
icr074030,0.896996111,0.077886213
icr074031,0.737430841,0.070359014
icr074045,1.05253908,0.088504691
icr074046,0.853770107,0.079918843
icr074062,0.769563615,0.065301478
icr074063,0.564423859,0.045924272
icr074082,1.201275289,0.079715613
icr074083,0.856545091,0.05227722
icr074102,1.508413851,0.107304811
icr074103,1.300029814,0.102071788
icr074122,0.989118695,0.09772861
icr074123,0.818056852,0.082640067
icr074140,1.059724212,0.082276862
icr074141,0.616073638,0.048830593
icr074159,0.746105552,0.058242328
icr074160,0.503713876,0.044362942
icr074175,0.961551458,0.06406467
icr074176,0.500166759,0.033016674
icr074193,0.845926851,0.069483329
icr074194,0.688794613,0.060786901
icr074211,1.049848497,0.070015222
icr074212,0.69028607,0.056289423
icr074231,0.387122169,0.033302879
icr074232,0.857780665,0.058701612
icr074248,1.110621333,0.079405759
icr074249,0.833023995,0.061075376
icr074298,1.03338182,0.072095662
icr074299,1.004072785,0.068211764
icr074318,1.143737912,0.075965513
icr074319,1.18749851,0.078401338
icr074336,1.278201699,0.060137343
icr074337,1.726140499,0.051815577
icr074356,0.791922867,0.048954133
icr074357,0.362802505,0.02411045
icr074376,1.523800552,0.10458586
icr074377,2.242411971,0.109220721
icr074396,0.97231856,0.067986555
icr074397,0.653300524,0.046005726
icr074413,1.143996596,0.073296651
icr074414,1.270982921,0.093807373
icr074433,0.570400178,0.043870648
icr074434,0.728538364,0.048511216
icr074454,1.440860093,0.098642357
icr074455,0.978538632,0.071524456
icr074470,0.932350904,0.074789681
icr074471,0.936305106,0.069957409
icr074489,0.846343338,0.064369025
icr074490,0.913276047,0.068941437
icr074509,0.338113919,0.022481621
icr074510,0.236946456,0.01759316
icr074529,1.158907354,0.076470681
icr074530,2.41968286,0.161487445
icr074544,1.750014246,0.136859737
icr074545,1.839507699,0.10571149
icr074560,0.455746949,0.035568036
icr074561,0.351357982,0.028599122
icr074580,0.703476191,0.046390506
icr074581,0.485806718,0.035554003
icr074631,0.372140676,0.020596251
icr074632,0.169609539,0.010166987
icr074651,0.269293591,0.022167776
icr074652,0.247691251,0.019787436
icr074671,0.300687015,0.026309121
icr074672,0.204143383,0.016238326
icr074691,0.951474249,0.073849943
icr074692,0.480226755,0.036394803
icr074711,0.24116841,0.018328124
icr074712,0.216627389,0.01400349
icr074731,0.224688061,0.021431697
icr074732,0.192851886,0.016548489
icr074751,0.207490757,0.011886172
icr074752,0.189337641,0.011211107
icr074771,0.338354304,0.023447512
icr074772,0.228067137,0.015722067
icr074791,0.264582083,0.024999722
icr074792,0.225759834,0.028289724
icr074811,0.242013559,0.031984645
icr074812,0.232475758,0.030197596
icr074831,0.300134391,0.023217063
icr074832,0.280853227,0.021221709
icr074851,0.253786728,0.021582083
icr074852,0.242255166,0.021978105
icr074871,0.224391297,0.021922515
icr074872,0.255893491,0.019981996
icr074891,0.176975027,0.017134516
icr074911,0.325206757,0.025817019
icr074912,0.194373168,0.015807663
icr074931,0.269460142,0.022176867
icr074932,0.240718573,0.01927327
icr074983,0.422684312,0.029210411
icr074984,0.434855968,0.029988724
icr075003,0.341792926,0.028844613
icr075004,0.334295958,0.028917905
icr075023,0.321799219,0.032289058
icr075024,0.266768575,0.033250136
icr075043,0.436891675,0.03214493
icr075044,0.247964479,0.017101113
icr075063,0.71837011,0.049499542
icr075064,0.609390974,0.041109631
icr075083,0.263404101,0.020491945
icr075084,0.246271551,0.021403734
icr075103,0.413143724,0.028858164
icr075104,0.351632833,0.030160012
icr075123,0.264931291,0.026507773
icr075124,0.303445086,0.031633479
icr075143,0.881352484,0.065315142
icr075144,1.595104694,0.035855066
icr075163,0.408391058,0.030983857
icr075164,0.302599534,0.021630057
icr075183,0.226274528,0.016264967
icr075184,0.201528318,0.011840828
icr075203,0.709017545,0.048848849
icr075204,0.584714025,0.040463706
icr075224,0.664387673,0.042436007
icr075225,0.896243423,0.056012932
icr075240,0.311309114,0.024647319
icr075241,0.249756552,0.019509936
icr075260,0.160640694,0.015417706
icr075261,0.164825186,0.011265462
icr075280,0.158370279,0.011970726
icr075281,0.199208498,0.017458919
icr075331,1.815770328,0.111676514
icr075332,0.816960245,0.049653165
icr075350,1.672337592,0.100451719
icr075351,0.597856104,0.037120461
