sample_id,tc,tn
icr043267,10.741027,0.64035179
icr043287,13.07967722,1.0244635100000001
icr043288,6.37179673,0.61447108
icr043299,15.39199948,0.998943
icr043300,10.10280848,0.7226758499999999
icr043324,15.10300636,1.3940840199999998
icr043325,4.14727196,0.45426659
icr043332,7.81042546,0.5943759
icr043333,5.4115957,0.54119488
icr043347,13.676506879999998,0.84321227
icr043348,10.33897668,0.67303345
icr043363,27.490650419999998,1.69567317
icr043390,67.4304533,4.40250903
icr043391,32.33293176,2.0096783300000003
icr043401,23.40365052,1.47547849
icr043402,17.040193079999998,1.11706678
icr048450,10.65447748,0.67708906
icr048451,5.312722770000001,0.42445200000000005
icr048468,22.03648925,1.57625593
icr048469,16.22363687,1.22037638
icr048485,13.882962469999999,0.6424276900000001
icr048486,11.20866299,0.35654243
icr048503,15.56940794,0.8388918300000001
icr048504,26.995425219999998,0.50070228
icr048520,8.42584491,0.66139963
icr048521,9.91131783,0.74671559
icr048528,10.01947284,0.67462813
icr048529,5.50558597,0.38502593
icr048549,27.63889313,1.76429905
icr048550,22.8158474,1.39155708
icr048566,25.55295348,1.65961333
icr048567,16.1663425,1.02921594
icr048584,8.83015543,0.6138165999999999
icr048585,4.91569474,0.43810187
icr048602,9.609170259999999,0.55981876
icr048603,2.80259356,0.20500643
icr048622,14.43021715,0.98375171
icr048623,8.5906449,0.63947745
icr048642,41.46082401,2.70904407
icr048643,34.41320896,1.9715583300000001
icr048664,15.40783167,1.07912626
icr048665,10.235000549999999,0.69115225
icr048682,3.4826260799999997,0.22704805
icr048683,1.84649818,0.13293997999999999
icr048704,16.24778032,0.9577014699999999
icr048705,8.97494942,0.5910434600000001
icr048721,34.84271169,2.27266312
icr048722,26.045285460000002,1.5898473599999998
icr048740,2.39287026,0.21961685000000003
icr048741,2.23196246,0.323686
icr048755,3.2524776500000003,0.30806595999999997
icr048756,4.52095002,0.29814754
icr048770,3.3728689000000003,0.30431372
icr048771,2.69096464,0.27567703
icr048786,6.13897234,0.62609466
icr048787,4.25583363,0.54457815
icr048793,2.2373816399999997,0.23741904000000003
